Date,Channel,SKU,Vendor,Wheel,Size,Bolt Pattern,Finish,Price,ID,Monthly Total,Monthly Sets,,
3/6/2025,eBay,E-RPF1-189+35-51143-SS,Enkei,Enkei RPF1,18x9 +35,5x114.3,F1 Silver,$700.10,Enkei RPF118x9 +355x114.3F1 Silver,,,,
3/6/2025,eBay,V-RacingTE37XTMSpec-189+15-61397-BB,Volk,Volk Racing TE37XT M-Spec,18x9 +15,6x139.7,Blast Black,"$3,450.00",Volk Racing TE37XT M-Spec18x9 +156x139.7Blast Black,,,,
3/4/2025,Shopify,"B-LM-209+42,2112+64-5130-SLV",BBS,BBS LM,"20x9 +42, 21x12 +64",5x130,Diamond Silver,"$6,526.80","BBS LM20x9 +42, 21x12 +645x130Diamond Silver",,,,
3/3/2025,Shopify,W-TC105X-179+35-51143-ET,WedsSport,WedsSport TC 105X,17x9 +35,5x114.3,EJ Titan,"$2,100.00",WedsSport TC 105X17x9 +355x114.3EJ Titan,,,,
3/3/2025,Shopify,M-MR305NV-178.5+0-5127-BR,Method,Method MR305 NV,17x8.5 +0,5x127,Bronze,"$1,340.00",Method MR305 NV17x8.5 +05x127Bronze,,,,
3/2/2025,eBay,E-RPF1-158+28-4100-SS,Enkei,Enkei RPF1,15x8 +28,4x100,F1 Silver,$499.92,Enkei RPF115x8 +284x100F1 Silver,,,,
3/2/2025,eBay,E-RPF1-178+45-5100-MB,Enkei,Enkei RPF1,17x8 +45,5x100,Matte Black,$280.65,Enkei RPF117x8 +455x100Matte Black,,,,
3/2/2025,eBay,GL-57CR-189.5+38-5100-BR2,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x100,Bronze 2,"$1,850.00",Gram Lights 57CR18x9.5 +385x100Bronze 2,,,,
3/1/2025,Shopify,V-RacingCE28NPlus-189.5+38-5120-BR,Volk,Volk Racing CE28N-Plus,18x9.5 +38,5x120,BlastBronze,"$3,173.41",Volk Racing CE28N-Plus18x9.5 +385x120BlastBronze,,,,
3/1/2025,eBay,E-RCT5-189.5+38-51143-SLV,Enkei,Enkei RCT5,18x9.5 +38,5x114.3,Dark Silver,$788.04,Enkei RCT518x9.5 +385x114.3Dark Silver,,,,
3/1/2025,eBay,"E-RPF1-147+28,157+35-4100-SS",Enkei,Enkei RPF1,"14x7 +28, 15x7 +35",4x100,F1 Silver,$838.42,"Enkei RPF114x7 +28, 15x7 +354x100F1 Silver",,,,
2/28/2025,eBay,GL-57DR-179+12-51143-CP,Gram Lights,Gram Lights 57DR,17x9 +12,5x114.3,Chrome Plating,"$2,399.00",Gram Lights 57DR17x9 +125x114.3Chrome Plating,,,,
2/27/2025,Shopify,GL-57CR-189.5+38-5120-GB2,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x120,Gun Blue 2,$509.01,Gram Lights 57CR18x9.5 +385x120Gun Blue 2,,,,
2/27/2025,Shopify,GL-57CR-189.5+38-5120-CP,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x120,Chrome Plating,"$2,587.00",Gram Lights 57CR18x9.5 +385x120Chrome Plating,,,,
2/27/2025,eBay,V-RacingTE37SagaSPlus-189.5+22-51143-BR,Volk,Volk Racing TE37 Saga S-Plus,18x9.5 +22,5x114.3,Bronze,"$3,959.00",Volk Racing TE37 Saga S-Plus18x9.5 +225x114.3Bronze,,,,
2/26/2025,eBay,E-RPF1-179+35-5100-SS,Enkei,Enkei RPF1,17x9 +35,5x100,F1 Silver,"$1,095.16",Enkei RPF117x9 +355x100F1 Silver,,,,
2/26/2025,eBay,GL-57CR-189.5+38-5100-GB,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x100,Glossy Black,"$1,995.00",Gram Lights 57CR18x9.5 +385x100Glossy Black,,,,
2/26/2025,eBay,V-RacingTE37XTMSpec-178.5-10-61397-DB,Volk,Volk Racing TE37XT M-Spec,17x8.5 -10,6x139.7,Diamond Black,"$3,100.00",Volk Racing TE37XT M-Spec17x8.5 -106x139.7Diamond Black,,,,
2/25/2025,Shopify,GL-57CR-189.5+38-5100-CP,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x100,Chrome Plating,"$2,587.00",Gram Lights 57CR18x9.5 +385x100Chrome Plating,,,,
2/25/2025,eBay,V-RacingTE37SagaSPlus-179+22-51143-SLV,Volk,Volk Racing TE37 Saga S-Plus,17x9 +22,5x114.3,Diamond Silver,"$3,020.05",Volk Racing TE37 Saga S-Plus17x9 +225x114.3Diamond Silver,,,,
2/24/2025,Shopify,E-RPF1RS-189.5+12-51143-SLV,Enkei,Enkei RPF1RS,18x9.5 +12,5x114.3,Silver,"$1,538.71",Enkei RPF1RS18x9.5 +125x114.3Silver,,,,
2/24/2025,eBay,V-RacingTE37XTSLMSpec-178.5-10-61397-PG,Volk,Volk Racing TE37XT SL M-Spec,17x8.5 -10,6x139.7,Pressed Graphite,"$3,000.00",Volk Racing TE37XT SL M-Spec17x8.5 -106x139.7Pressed Graphite,,,,
2/23/2025,eBay,E-RPF1-179+45-51143-SS,Enkei,Enkei RPF1,17x9 +45,5x114.3,F1 Silver,$272.58,Enkei RPF117x9 +455x114.3F1 Silver,,,,
2/23/2025,eBay,V-RacingCE28NPlus-189.5+38-5120-BR,Volk,Volk Racing CE28N-Plus,18x9.5 +38,5x120,BlastBronze,"$3,099.00",Volk Racing CE28N-Plus18x9.5 +385x120BlastBronze,,,,
2/23/2025,eBay,V-RacingTE37SagaSPlus-179+22-51143-BR,Volk,Volk Racing TE37 Saga S-Plus,17x9 +22,5x114.3,Bronze,"$3,000.00",Volk Racing TE37 Saga S-Plus17x9 +225x114.3Bronze,,,,
2/22/2025,Shopify,E-RPF1-189.5+15-51143-S,Enkei,Enkei RPF1,18x9.5 +15,5x114.3,SBC,"$1,504.00",Enkei RPF118x9.5 +155x114.3SBC,,,,
2/21/2025,Shopify,GL-57DR-189.5+38-51143-CP,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x114.3,Chrome Plating,$640.00,Gram Lights 57DR18x9.5 +385x114.3Chrome Plating,,,,
2/21/2025,Shopify,GL-57DR-189.5+38-5100-CP,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x100,Chrome Plating,"$2,328.30",Gram Lights 57DR18x9.5 +385x100Chrome Plating,,,,
2/21/2025,eBay,"V-RacingTE37UltraMSpec-199.5+23,1911+37-5120-DDG",Volk,Volk Racing TE37 Ultra M-Spec,"19x9.5 +23, 19x11 +37",5x120,Diamond Dark Gunmetal,"$3,600.00","Volk Racing TE37 Ultra M-Spec19x9.5 +23, 19x11 +375x120Diamond Dark Gunmetal",,,,
2/19/2025,Shopify,M-MF10-178.5+40-51143-BR,Mugen,Mugen MF10,17x8.5 +40,5x114.3,Bronze,"$3,230.00",Mugen MF1017x8.5 +405x114.3Bronze,,,,
2/19/2025,Shopify,GL-57CR-189.5+38-51143-CP,Gram Lights,Gram Lights 57CR,18x9.5 +38,5x114.3,Chrome Plating,"$2,587.00",Gram Lights 57CR18x9.5 +385x114.3Chrome Plating,,,,
2/19/2025,Shopify,V-RacingTE37XTMSpec-189+15-61397-BB,Volk,Volk Racing TE37XT M-Spec,18x9 +15,6x139.7,Blast Black,"$3,000.00",Volk Racing TE37XT M-Spec18x9 +156x139.7Blast Black,,,,
2/19/2025,Shopify,V-RacingTE37SagaSPlus-189.5+45-5120-B,Volk,Volk Racing TE37 Saga S-Plus,18x9.5 +45,5x120,Black,"$2,680.60",Volk Racing TE37 Saga S-Plus18x9.5 +455x120Black,,,,
2/18/2025,Shopify,GL-57DR-189.5+38-51143-SGB,Gram Lights,Gram Lights 57DR,18x9.5 +38,5x114.3,Semi Gloss Black,"$1,730.60",Gram Lights 57DR18x9.5 +385x114.3Semi Gloss Black,,,,
2/16/2025,Shopify,S-SW388-189.5+40-5120-B,Spoon,Spoon SW388,18x9.5 +40,5x120,Black,"$3,536.00",Spoon SW38818x9.5 +405x120Black,,,,
2/16/2025,eBay,V-RacingCE28N-178+33-51143-BR,Volk,Volk Racing CE28N,17x8 +33,5x114.3,Bronze,"$2,600.00",Volk Racing CE28N17x8 +335x114.3Bronze,,,,
